瘪掉的篮球,可回收垃圾
冰袋,干垃圾
冰柜,可回收垃圾
冰糖,湿垃圾
葡萄柄,湿垃圾
游戏手柄,可回收垃圾
丙烯,干垃圾
饼干,湿垃圾
大饼,湿垃圾
粉饼,干垃圾
病人换下来的纸尿裤,干垃圾
玻璃,可回收垃圾
玻璃杯,可回收垃圾
玻璃尺,可回收垃圾
菠菜,湿垃圾
菠萝,湿垃圾
菠萝干,湿垃圾
数字音乐播放器,可回收垃圾
微波炉,可回收垃圾
铂金纸,干垃圾
铝箔,可回收垃圾
鋁箔,可回收垃圾
锡箔,干垃圾
鸭脖,湿垃圾
鸭脖子,湿垃圾
捕蚊灯,可回收垃圾
萝卜,湿垃圾
胡萝卜,湿垃圾
萝卜干,湿垃圾
不锈钢,可回收垃圾
不粘锅,可回收垃圾
尿不湿,干垃圾
布,可回收垃圾
布袋,可回收垃圾
电话簿,可回收垃圾
板擦儿,干垃圾
擦屎纸,干垃圾
擦手巾,干垃圾
药材,湿垃圾
彩笔,干垃圾
彩电,可回收垃圾
彩票,干垃圾
菜,湿垃圾
餐盒,干垃圾
餐巾,干垃圾
餐纸,干垃圾
西洋参,湿垃圾
蚕丝,可回收垃圾
蚕豆壳,湿垃圾
残羹,湿垃圾
残花,湿垃圾
残枝,湿垃圾
苍蝇,湿垃圾
苍蝇拍,干垃圾
草,湿垃圾
草莓,湿垃圾
厕纸,干垃圾
厕所纸,干垃圾
手册,可回收垃圾
相册,干垃圾
宣传册,可回收垃圾
插排,可回收垃圾
插头,可回收垃圾
插座,可回收垃圾
叉子,可回收垃圾
塑料叉子,干垃圾
一次性叉子,干垃圾
茶,湿垃圾
茶包,干垃圾
茶袋,干垃圾
搽鼻涕纸,干垃圾
火柴,干垃圾
硅胶铲,干垃圾
木铲板,可回收垃圾
电器产品,可回收垃圾
电子产品,可回收垃圾
水产类弃物,湿垃圾
常温牛奶盒,可回收垃圾
常温牛奶盒子,可回收垃圾
平常喝的茶叶,湿垃圾
长靴,可回收垃圾
长毛绒,可回收垃圾
长生果,湿垃圾
红肠,湿垃圾
香肠,湿垃圾
鱼肠,湿垃圾
唱片,干垃圾
黑胶唱片,干垃圾
超能胶,干垃圾
手抄报,干垃圾
点钞机,可回收垃圾
过朝食品,湿垃圾
防潮盒,可回收垃圾
防潮剂,干垃圾
吸潮剂,干垃圾
炒面,湿垃圾
炒板栗,湿垃圾
炒花生壳,湿垃圾
尘土,干垃圾
灰尘,干垃圾
陈皮,湿垃圾
衬衫,可回收垃圾
衬衣,可回收垃圾
橙,湿垃圾
橙皮,湿垃圾
橙子,湿垃圾
中成药,有害垃圾
成人尿布,干垃圾
集成电路板,可回收垃圾
体重秤,可回收垃圾
吃过的甘蔗,湿垃圾
吃剩的快餐,湿垃圾
吃过的棒棒糖,干垃圾
钥匙,可回收垃圾
车钥匙,干垃圾
金属汤匙,可回收垃圾
電池,有害垃圾
蓄电池,有害垃圾
充电电池,有害垃圾
齿轮,可回收垃圾
牙齿,干垃圾
掉下来的牙齿,干垃圾
尺,干垃圾
尺子,可回收垃圾
铁尺,可回收垃圾
鸡翅,湿垃圾
鸡翅骨头,湿垃圾
白炽灯,有害垃圾
白炽灯泡,有害垃圾
充电宝,可回收垃圾
充电器,可回收垃圾
充电线,可回收垃圾
冲泡饮料,湿垃圾
虫,湿垃圾
虫子,湿垃圾
米虫,湿垃圾
宠物毛,干垃圾
抽纸,干垃圾
绸带,可回收垃圾
丝绸制品,可回收垃圾
臭豆腐,湿垃圾
臭鸡蛋,湿垃圾
臭袜子,干垃圾
打印出来的纸,可回收垃圾
厨余,湿垃圾
厨房纸,干垃圾
厨房垃圾,湿垃圾
除草剂,有害垃圾
除湿盒,可回收垃圾
除湿机,可回收垃圾
传单,可回收垃圾
传真机,可回收垃圾
传真纸,可回收垃圾
手串,干垃圾
窗帘,可回收垃圾
窗纱,干垃圾
床单,可回收垃圾
创可贴,干垃圾
创口贴,干垃圾
用的创可贴,干垃圾
吹风机,可回收垃圾
电吹风,可回收垃圾
锤子,可回收垃圾
铁锤,可回收垃圾
春梅,湿垃圾
唇膏,干垃圾
润唇膏,干垃圾
磁带,干垃圾
磁卡,干垃圾
磁铁,可回收垃圾
瓷片,干垃圾
瓷器,干垃圾
瓷碗,干垃圾
鱼刺,湿垃圾
一次性碗,干垃圾
一次塑料杯,干垃圾
一次性杯子,干垃圾
葱,湿垃圾
葱蒜,湿垃圾
大葱,湿垃圾
醋瓶,可回收垃圾
脆骨,湿垃圾
水果脆,湿垃圾
内存条,可回收垃圾
3.5英寸软盘,干垃圾
打包袋,干垃圾
打包盒,干垃圾
打底裤,可回收垃圾
担担面,湿垃圾
鸡毛掸,干垃圾
鸡毛掸子,干垃圾
海胆,湿垃圾
海胆壳,干垃圾
鸡旦壳,湿垃圾
淡菜,湿垃圾
弹簧,可回收垃圾
子弹,干垃圾
蛋,湿垃圾
